"Company";"TypeName";"Touchscreen";"IPS";"CPU";"Ram";"Gpu";"OpySys";"Weight";"Price";"PPI";"HDDStorage";"SSDStorage";"FlashMemory";"HybridStorage"
"Apple";"Ultrabook";0;1;"Intel Core i5";"8";"Intel";"Mac";"1.37";71378.6832;226.983;0;128;0;0
"Apple";"Ultrabook";0;0;"Intel Core i5";"8";"Intel";"Mac";"1.34";47895.5232;127.6779;0;0;128;0
"HP";"Notebook";0;0;"Intel Core i5";"8";"Intel";"Others/No OS/Linux";"1.86";30636.0;141.212;0;256;0;0
"Apple";"Ultrabook";0;1;"Intel Core i7";"16";"AMD";"Mac";"1.83";135195.336;220.5346;0;512;0;0
"Apple";"Ultrabook";0;1;"Intel Core i5";"8";"Intel";"Mac";"1.37";96095.808;226.983;0;256;0;0
"Acer";"Notebook";0;0;"AMD Processor";"4";"AMD";"Windows";"2.1";21312.0;100.4547;500;0;0;0
"Apple";"Ultrabook";0;1;"Intel Core i7";"16";"Intel";"Mac";"2.04";114017.6016;220.5346;0;0;256;0
"Apple";"Ultrabook";0;0;"Intel Core i5";"8";"Intel";"Mac";"1.34";61735.536;127.6779;0;0;256;0
"Asus";"Ultrabook";0;0;"Intel Core i7";"16";"Nvidia";"Windows";"1.3";79653.6;157.3505;0;512;0;0
"Acer";"Ultrabook";0;1;"Intel Core i5";"8";"Intel";"Windows";"1.6";41025.6;157.3505;0;256;0;0
"HP";"Notebook";0;0;"Intel Core i5";"4";"Intel";"Others/No OS/Linux";"1.86";20986.992;100.4547;500;0;0;0
"HP";"Notebook";0;0;"Intel Core i3";"4";"Intel";"Others/No OS/Linux";"1.86";18381.0672;141.212;500;0;0;0
"Apple";"Ultrabook";0;1;"Intel Core i7";"16";"AMD";"Mac";"1.83";130001.6016;220.5346;0;256;0;0
"Dell";"Notebook";0;0;"Intel Core i3";"4";"AMD";"Windows";"2.2";26581.392;141.212;0;256;0;0
"Apple";"Ultrabook";0;1;"Other Intel Processor";"8";"Intel";"Mac";"0.92";67260.672;226.4155;0;256;0;0
"Apple";"Ultrabook";0;1;"Intel Core i5";"8";"Intel";"Mac";"1.37";80908.344;226.983;0;256;0;0
"Dell";"Notebook";0;0;"Intel Core i7";"8";"AMD";"Windows";"2.2";39693.6;141.212;0;256;0;0
"Apple";"Ultrabook";0;1;"Intel Core i7";"16";"AMD";"Mac";"1.83";152274.24;220.5346;0;512;0;0
"Lenovo";"Notebook";0;0;"Intel Core i3";"8";"Nvidia";"Others/No OS/Linux";"2.2";26586.72;141.212;1000;0;0;0
"Dell";"Ultrabook";1;1;"Intel Core i5";"8";"Intel";"Windows";"1.22";52161.12;165.6321;0;128;0;0
"Asus";"Netbook";0;0;"Other Intel Processor";"2";"Intel";"Windows";"0.98";10224.432;135.0942;0;0;32;0
"Lenovo";"Gaming";0;1;"Intel Core i5";"8";"Nvidia";"Windows";"2.5";53226.72;141.212;1000;1000;0;0
"HP";"Notebook";0;0;"AMD Processor";"4";"AMD";"Others/No OS/Linux";"1.86";13746.24;100.4547;500;0;0;0
"Dell";"2 in 1 Convertible";1;0;"Intel Core i5";"8";"Intel";"Windows";"1.62";43636.32;165.6321;0;256;0;0
"HP";"Ultrabook";0;0;"Intel Core i7";"8";"Intel";"Windows";"1.91";35111.52;141.212;0;256;0;0
"Dell";"Notebook";0;0;"Intel Core i3";"4";"Intel";"Windows";"2.3";22305.1392;100.4547;1000;0;0;0
"Apple";"Ultrabook";0;0;"Intel Core i5";"8";"Intel";"Mac";"1.35";58554.72;127.6779;0;0;128;0
"Dell";"Notebook";0;0;"Intel Core i5";"8";"AMD";"Windows";"2.2";42624.0;141.212;0;256;0;0
"Dell";"Ultrabook";0;0;"Intel Core i7";"8";"Intel";"Windows";"1.88";69157.44;141.212;0;256;0;0
"HP";"Notebook";0;0;"Intel Core i5";"8";"Nvidia";"Windows";"2.5";47738.88;127.3357;1000;0;0;0
"Chuwi";"Notebook";0;0;"Other Intel Processor";"4";"Intel";"Windows";"1.89";13053.0672;141.212;0;0;64;0
"Asus";"Notebook";0;0;"AMD Processor";"2";"AMD";"Windows";"1.65";10602.72;111.9352;0;0;32;0
"HP";"Notebook";0;0;"AMD Processor";"4";"AMD";"Windows";"2.71";23389.92;127.3357;500;0;0;0
"Dell";"Ultrabook";1;0;"Intel Core i7";"16";"Intel";"Windows";"1.2";99580.32;276.0535;0;512;0;0
"Apple";"Ultrabook";0;0;"Intel Core i5";"8";"Intel";"Mac";"1.35";53173.44;127.6779;0;0;256;0
"Lenovo";"Notebook";0;0;"Other Intel Processor";"4";"Intel";"Windows";"1.44";13266.72;111.9352;0;0;64;0
"Acer";"Notebook";0;0;"Intel Core i3";"4";"Intel";"Others/No OS/Linux";"2.1";19553.76;100.4547;1000;0;0;0
"Dell";"Notebook";0;1;"Intel Core i5";"8";"AMD";"Windows";"2.8";52161.12;127.3357;1000;1000;0;0
"HP";"Notebook";0;0;"Intel Core i5";"4";"Intel";"Windows";"1.86";26037.4032;100.4547;1000;0;0;0
"HP";"Notebook";0;0;"Intel Core i5";"8";"Nvidia";"Windows";"2.1";46833.12;141.212;0;256;0;0
"Asus";"Notebook";0;0;"Intel Core i3";"4";"Intel";"Others/No OS/Linux";"2";20725.92;141.212;1000;0;0;0
"Dell";"Gaming";0;1;"Intel Core i7";"16";"Nvidia";"Windows";"2.65";79866.72;141.212;1000;1000;0;0
"Asus";"Notebook";0;0;"Intel Core i5";"8";"Nvidia";"Others/No OS/Linux";"2.3";27864.9072;100.4547;1000;0;0;0
"Acer";"Notebook";0;1;"Intel Core i5";"4";"Intel";"Windows";"2.2";36336.96;141.212;0;256;0;0
"Dell";"2 in 1 Convertible";1;0;"Intel Core i5";"12";"Nvidia";"Windows";"2.77";53226.72;127.3357;1000;0;0;0
"Apple";"Ultrabook";0;1;"Intel Core i5";"8";"Intel";"Mac";"1.37";75604.32;226.983;0;256;0;0
"Lenovo";"Notebook";0;0;"Intel Core i3";"4";"Intel";"Others/No OS/Linux";"2.2";19660.32;100.4547;0;128;0;0
"Asus";"Gaming";0;0;"AMD Processor";"8";"AMD";"Windows";"3.2";69210.72;127.3357;1000;1000;0;0
"Dell";"Notebook";0;0;"Intel Core i5";"4";"AMD";"Windows";"2.3";34045.92;141.212;0;256;0;0
"Asus";"Notebook";0;0;"Other Intel Processor";"4";"Nvidia";"Windows";"2.8";24828.48;90.5834;1000;0;0;0
"Lenovo";"2 in 1 Convertible";1;1;"Other Intel Processor";"4";"Intel";"Others/No OS/Linux";"0.69";16996.32;224.1738;0;0;64;0
"Acer";"Notebook";0;1;"Intel Core i7";"8";"Nvidia";"Windows";"2.2";44808.48;141.212;0;256;0;0
"HP";"Notebook";0;0;"AMD Processor";"4";"AMD";"Windows";"1.86";21231.5472;141.212;0;256;0;0
"HP";"Notebook";0;0;"Intel Core i7";"8";"Intel";"Windows";"1.49";58767.84;165.6321;0;512;0;0
